type,table_name,relationship,referenced_table,local_column,referenced_column,delete_rule,update_rule
Table,public.issue_relations,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.issue_relations,has FK to,public.agents,created_by_agent_id,id,SET NULL,NO ACTION
Table,public.issue_relations,has FK to,public.issues,issue_id,id,CASCADE,NO ACTION
Table,public.issue_relations,has FK to,public.issues,related_issue_id,id,CASCADE,NO ACTION
Table,public.issue_thread_interactions,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.issue_thread_interactions,has FK to,public.agents,created_by_agent_id,id,NO ACTION,NO ACTION
Table,public.issue_thread_interactions,has FK to,public.issues,issue_id,id,NO ACTION,NO ACTION
Table,public.issue_thread_interactions,has FK to,public.agents,resolved_by_agent_id,id,NO ACTION,NO ACTION
Table,public.issue_thread_interactions,has FK to,public.issue_comments,source_comment_id,id,SET NULL,NO ACTION
Table,public.issue_thread_interactions,has FK to,public.heartbeat_runs,source_run_id,id,SET NULL,NO ACTION
Table,public.issue_work_products,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.issue_work_products,has FK to,public.heartbeat_runs,created_by_run_id,id,SET NULL,NO ACTION
Table,public.issue_work_products,has FK to,public.execution_workspaces,execution_workspace_id,id,SET NULL,NO ACTION
Table,public.issue_work_products,has FK to,public.issues,issue_id,id,CASCADE,NO ACTION
Table,public.issue_work_products,has FK to,public.projects,project_id,id,SET NULL,NO ACTION
Table,public.issue_work_products,has FK to,public.workspace_runtime_services,runtime_service_id,id,SET NULL,NO ACTION
Table,public.issues,has FK to,public.agents,assignee_agent_id,id,NO ACTION,NO ACTION
Table,public.issues,has FK to,public.heartbeat_runs,checkout_run_id,id,SET NULL,NO ACTION
Table,public.issues,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.issues,has FK to,public.agents,created_by_agent_id,id,NO ACTION,NO ACTION
Table,public.issues,has FK to,public.heartbeat_runs,execution_run_id,id,SET NULL,NO ACTION
Table,public.issues,has FK to,public.execution_workspaces,execution_workspace_id,id,SET NULL,NO ACTION
Table,public.issues,has FK to,public.goals,goal_id,id,NO ACTION,NO ACTION
Table,public.issues,has FK to,public.issues,parent_id,id,NO ACTION,NO ACTION
Table,public.issues,has FK to,public.projects,project_id,id,NO ACTION,NO ACTION
Table,public.issues,has FK to,public.project_workspaces,project_workspace_id,id,SET NULL,NO ACTION
Table,public.join_requests,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.join_requests,has FK to,public.agents,created_agent_id,id,NO ACTION,NO ACTION
Table,public.join_requests,has FK to,public.invites,invite_id,id,NO ACTION,NO ACTION
Table,public.labels,has FK to,public.companies,company_id,id,CASCADE,NO ACTION
Table,public.model_benchmarks,has FK to,public.models,model_id,id,NO ACTION,NO ACTION
Table,public.model_change_log,has FK to,public.models,new_model_id,id,NO ACTION,NO ACTION
Table,public.model_change_log,has FK to,public.models,old_model_id,id,NO ACTION,NO ACTION
Table,public.plugin_company_settings,has FK to,public.companies,company_id,id,CASCADE,NO ACTION
Table,public.plugin_company_settings,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
Table,public.plugin_config,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
Table,public.plugin_database_namespaces,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
Table,public.plugin_entities,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
Table,public.plugin_job_runs,has FK to,public.plugin_jobs,job_id,id,CASCADE,NO ACTION
Table,public.plugin_job_runs,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
Table,public.plugin_jobs,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
